address,comments
225 e 138th st,total rate is not the same
6 w 71st st,total rate is not the same
453 e 174th st,total rate is not the same
69-41 185th st,total rate is not the same
50-53 41st st,total rate is not the same
141 parkway rd,total rate is not the same
939 e 53rd st,total rate is not the same
773 concourse village e,total rate is not the same
1055 sherman ave,total rate is not the same
138 e 14th st,total rate is not the same
w 169th st,total rate is not the same
320 cumberland st,total rate is not the same
new rochelle,total rate is not the same
